date,region,service,resource,cost,cpu,memory,status
2026-07-01,us-east-1,EC2,web-server-01,250,18,25,Running
2026-07-01,us-east-1,RDS,orders-db,120,55,68,Running
2026-07-01,us-east-1,S3,backup-bucket,35,0,0,Active
2026-07-01,us-west-2,EC2,app-server-01,180,32,45,Running
2026-07-01,eu-central-1,Lambda,notification-service,25,10,15,Running
2026-07-02,us-east-1,EC2,web-server-01,265,20,27,Running
2026-07-02,us-east-1,RDS,orders-db,122,58,70,Running
2026-07-02,us-east-1,S3,backup-bucket,36,0,0,Active
2026-07-02,us-west-2,EC2,app-server-01,185,35,48,Running
2026-07-02,eu-central-1,Lambda,notification-service,28,12,18,Running
2026-07-03,us-east-1,EC2,analytics-server,620,15,22,Running
2026-07-03,us-east-1,RDS,orders-db,125,60,72,Running
2026-07-03,us-east-1,S3,backup-bucket,40,0,0,Active
2026-07-03,us-west-2,EC2,app-server-01,190,38,49,Running
2026-07-03,eu-central-1,Lambda,notification-service,30,13,20,Running
2026-07-04,us-east-1,EC2,analytics-server,640,16,24,Running
2026-07-04,us-east-1,RDS,orders-db,128,62,74,Running
2026-07-04,us-east-1,S3,backup-bucket,41,0,0,Active
2026-07-04,us-west-2,EC2,app-server-01,195,40,52,Running
2026-07-04,eu-central-1,Lambda,notification-service,31,15,22,Running
2026-07-05,us-east-1,EC2,analytics-server,660,17,26,Running
2026-07-05,us-east-1,RDS,orders-db,130,64,75,Running
2026-07-05,us-east-1,S3,backup-bucket,42,0,0,Active
2026-07-05,us-west-2,EC2,app-server-01,198,42,54,Running
2026-07-05,eu-central-1,Lambda,notification-service,33,17,24,Running
2026-07-06,us-east-1,EC2,dev-server,90,8,12,Running
2026-07-06,us-west-2,EC2,test-server,95,9,15,Running
2026-07-06,eu-central-1,EC2,idle-server,110,5,10,Running
2026-07-06,us-east-1,S3,logs-bucket,22,0,0,Active
2026-07-06,us-west-2,RDS,users-db,115,48,60,Running
2026-07-07,us-east-1,EC2,dev-server,92,9,14,Running
2026-07-07,us-west-2,EC2,test-server,96,10,16,Running
2026-07-07,eu-central-1,EC2,idle-server,112,6,11,Running
2026-07-07,us-east-1,S3,logs-bucket,24,0,0,Active
2026-07-07,us-west-2,RDS,users-db,118,50,62,Running
2026-07-08,us-east-1,LoadBalancer,public-alb,65,15,20,Running
2026-07-08,us-west-2,LoadBalancer,internal-alb,58,12,18,Running
2026-07-08,eu-central-1,S3,archive-bucket,18,0,0,Active
2026-07-08,us-east-1,Lambda,billing-worker,20,10,15,Running
2026-07-08,eu-central-1,RDS,inventory-db,140,70,82,Running
